,From,To
0,5351020,9890236
1,5351020,8279207
2,5351020,9134737
3,5351020,7172768
4,5351020,7949740
5,5351020,5699113
6,5351020,7851108
7,5351020,5651547
8,9890236,3098828
9,9890236,4074505
10,7172768,3339831
11,7172768,239313
12,7172768,5843743
13,7172768,4916223
14,7172768,377683
15,7172768,54737
16,5651547,5126936
17,5651547,5129967
